City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,5.01,84,99,0.89,NZ,1693120791
1,coquimbo,-29.9533,-71.3436,11.85,66,0,1.03,CL,1693121063
2,waitangi,-43.9535,-176.5597,6.01,92,100,5.87,NZ,1693121063
3,crane,31.3974,-102.3501,27.21,45,18,2.61,US,1693121063
4,wailua homesteads,22.0669,-159.378,26.44,81,75,8.23,US,1693121064
5,altai,46.3722,96.2583,20.94,28,19,2.15,MN,1693121065
6,grytviken,-54.2811,-36.5092,-5.7,82,69,4.27,GS,1693121065
7,byron bay,-28.65,153.6167,18.73,65,44,4.25,AU,1693120972
8,port-aux-francais,-49.35,70.2167,6.27,96,100,21.0,TF,1693121066
9,igarka,67.4667,86.5833,15.93,57,33,5.61,RU,1693121066
10,bredasdorp,-34.5322,20.0403,10.94,66,9,2.2,ZA,1693121066
11,acarau,-2.8856,-40.12,24.33,90,19,3.66,BR,1693121067
12,kodiak,57.79,-152.4072,12.73,94,100,6.69,US,1693121068
13,san antonio de pale,-1.4014,5.6325,23.73,86,99,5.58,GQ,1693121068
14,edinburgh of the seven seas,-37.0676,-12.3116,14.52,96,100,13.1,SH,1693121068
15,vorgashor,67.5833,63.95,4.74,97,100,6.65,RU,1693121069
16,rusape,-18.5278,32.1284,14.5,74,90,4.93,ZW,1693121069
17,albany,42.6001,-73.9662,18.23,96,24,1.94,US,1693121069
18,vadso,70.0744,29.7487,10.09,76,100,1.54,NO,1693121070
19,hammerfest,70.6634,23.6821,8.25,87,100,2.06,NO,1693121070
20,tiksi,71.6872,128.8694,15.74,70,39,2.28,RU,1693121070
21,tura,25.5198,90.2201,25.04,96,100,0.89,IN,1693120782
22,tazovsky,67.4667,78.7,13.0,61,99,4.8,RU,1693121071
23,mu'minobod,38.1085,70.0285,18.35,54,100,3.96,TJ,1693121071
24,bethel,41.3712,-73.414,20.36,88,0,0.0,US,1693121072
25,adamstown,-25.066,-130.1015,19.36,62,52,6.27,PN,1693121072
26,papatowai,-46.5619,169.4708,4.93,77,100,4.64,NZ,1693121072
27,namibe,-15.1961,12.1522,18.49,84,8,4.12,AO,1693121073
28,erdenet,49.0333,104.0833,20.0,45,100,2.25,MN,1693121073
29,wynyard,-41.0,145.7167,11.09,71,88,3.53,AU,1693121073
30,sirjan,29.452,55.6814,33.13,14,0,4.18,IR,1693121074
31,nemuro,43.3236,145.575,20.38,98,100,5.63,JP,1693121075
32,kiama,-34.6833,150.8667,19.1,73,100,2.24,AU,1693121075
33,hithadhoo,-0.6,73.0833,28.1,74,8,3.23,MV,1693121075
34,tolanaro,-25.0319,46.9987,26.04,65,40,2.57,MG,1693121075
35,torgelow,53.6333,14.0167,19.09,80,100,0.89,DE,1693121076
36,blackmans bay,-43.0167,147.3167,11.07,72,0,1.8,AU,1693121076
37,anadyr,64.75,177.4833,10.28,71,0,4.0,RU,1693121077
38,kudahuvadhoo,2.6708,72.8944,28.12,72,15,1.49,MV,1693121077
39,kone,-21.0595,164.8658,20.12,61,100,3.59,NC,1693121078
40,olonkinbyen,70.9221,-8.7187,6.94,88,100,9.04,SJ,1693121078
41,price,39.5994,-110.8107,18.95,63,0,3.6,US,1693121078
42,port mathurin,-19.6833,63.4167,22.79,74,61,11.1,MU,1693121079
43,kitakata,37.65,139.8667,29.59,65,100,2.47,JP,1693120969
44,ust-nera,64.5667,143.2,14.71,58,100,2.23,RU,1693121079
45,utrik,11.2278,169.8474,28.05,79,100,6.05,MH,1693121080
46,hawaiian paradise park,19.5933,-154.9731,22.8,95,100,2.06,US,1693121080
47,jamestown,42.097,-79.2353,16.8,100,100,2.57,US,1693121080
48,"laikit, laikit ii (dimembe)",1.4792,124.9735,29.47,58,40,6.17,ID,1693121081
49,naliya,23.2667,68.8333,30.16,57,99,9.39,IN,1693121081
50,margaret river,-33.95,115.0667,17.62,72,100,5.23,AU,1693120831
51,woolgoolga,-30.1106,153.2007,17.93,70,21,4.15,AU,1693121081
52,hermanus,-34.4187,19.2345,11.0,70,28,4.65,ZA,1693121082
53,takoradi,4.8845,-1.7554,24.44,91,90,3.2,GH,1693121082
54,ilhabela,-23.7781,-45.3581,16.72,84,100,2.08,BR,1693121082
55,yamada,39.4667,141.95,27.42,74,100,4.36,JP,1693120846
56,ha'il,27.5219,41.6907,37.01,15,0,3.09,SA,1693120802
57,udachny,66.4167,112.4,26.36,29,43,5.41,RU,1693121083
58,uturoa,-16.7333,-151.4333,26.37,70,24,6.25,PF,1693121084
59,ribeira grande,38.5167,-28.7,23.22,73,20,6.17,PT,1693121084
60,luderitz,-26.6481,15.1594,17.64,34,0,4.33,NA,1693120818
61,nantucket,41.2835,-70.0995,21.03,80,100,3.09,US,1693121085
62,georgetown,5.4112,100.3354,32.96,74,20,4.12,MY,1693121042
63,shimoda,34.6667,138.95,30.2,73,94,3.2,JP,1693121077
64,whitehorse,60.7161,-135.0538,18.43,55,20,4.63,CA,1693121000
65,porto novo,6.4965,2.6036,25.25,88,100,2.81,BJ,1693121086
66,lewiston orchards,46.3804,-116.9754,24.54,55,0,0.0,US,1693120871
67,dem'yanovo,60.3511,47.0842,6.94,96,100,3.42,RU,1693121086
68,kizhinga,51.8462,109.9097,22.41,47,58,0.39,RU,1693121087
69,puerto natales,-51.7236,-72.4875,0.87,98,100,0.88,CL,1693121087
70,port lincoln,-34.7333,135.8667,13.46,62,8,2.86,AU,1693120956
71,rieti,42.4072,12.8592,25.35,34,9,2.57,IT,1693121088
72,fale old settlement,-9.3852,-171.2468,28.15,73,99,5.24,TK,1693121088
73,east london,-33.0153,27.9116,16.52,41,0,8.23,ZA,1693120907
74,shwebo,22.5667,95.7,31.1,65,94,5.82,MM,1693121089
75,port elizabeth,-33.918,25.5701,14.16,58,0,5.66,ZA,1693121032
76,ilulissat,69.2167,-51.1,6.01,93,100,2.06,GL,1693121089
77,vorkuta,67.5,64.0,4.88,97,100,6.85,RU,1693121090
78,parras de la fuente,25.4167,-102.1833,21.19,59,91,3.3,MX,1693121090
79,yuzhno-kurilsk,44.0306,145.8556,21.04,94,100,4.54,RU,1693121090
80,oranjemund,-28.55,16.4333,15.84,29,0,6.63,NA,1693121091
81,n'zeto,-7.2312,12.8666,22.47,83,100,4.23,AO,1693121091
82,kabalo,-6.05,26.9167,29.42,51,27,2.56,CD,1693121091
83,talnakh,69.4865,88.3972,15.67,52,82,5.47,RU,1693120861
84,tezu,27.9167,96.1667,24.43,99,100,1.13,IN,1693121092
85,arraial do cabo,-22.9661,-42.0278,18.12,86,88,7.68,BR,1693121092
86,syktyvkar,61.6764,50.8099,7.85,93,75,2.0,RU,1693121092
87,namdrik,5.5994,168.1028,28.18,73,100,3.04,MH,1693121093
88,zag,46.9441,99.165,20.84,28,5,1.64,MN,1693121094
89,pacific grove,36.6177,-121.9166,16.68,91,100,2.06,US,1693121094
